CAND_ID,CAND_NAME,CAND_ICI,CAND_PTY_AFFILIATION,TTL_RECEIPTS,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,PCT_INDIV_CONTRIB,PAC_Contribution_%,Party_Contribution_%,Adj_Party_Contrib,Adj_PAC_Contrib
H4SC03152,"BEDENBAUGH, MICHAEL",O,OTH,7002.98,0.0,7002.98,SC,3.0,0.0,0.0,12/02/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4CA30156,"BOCANEGRA, JOSH",O,NOP,7806.0,0.0,7806.0,CA,30.0,0.0,0.0,03/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4TX32147,"BOWERS, RHETTA",O,DEM,24629.81,0.0,24629.81,TX,32.0,0.0,0.0,09/30/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4CA10117,"SWEENEY, JOSEPH J",C,IND,15515.0,21016.74,15515.0,CA,10.0,0.0,0.0,12/31/2024,25.0,0.0,100.0,0.0,0.0,0.0,0.0
H4NY10122,"GRANDSARD, BRUNO",C,DEM,28247.0,0.0,28247.0,NY,10.0,0.0,0.0,07/01/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2SC05094,"ECKERT, KEVIN",C,DEM,240.0,4457.91,240.0,SC,5.0,0.0,0.0,01/31/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2CO08137,"DOUGLAS, STEVE DOUGLAS",O,DEM,2900.0,1344.43,2900.0,CO,8.0,0.0,0.0,05/12/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H6MO01253,"CHAPPELLE-NADAL, MARIA MS.",C,DEM,19265.0,14214.95,19265.0,MO,1.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H0TX31048,"WILLIAMS, MICHAEL HOWARD MR.",C,REP,1900.0,130172.58,1900.0,TX,31.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2CA12190,"CURRY, ERIC",C,DEM,7913.31,6187.1,7913.31,CA,12.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4FL02112,"ABOUJAOUDE, ROCK ADEL MR. JR",C,DEM,56949.32,0.0,56949.32,FL,12.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H0TX31030,"GARAPATI, ABHIRAM",C,REP,175.0,0.0,175.0,TX,31.0,0.0,0.0,09/30/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4MO02108,"PFEIFER, PETER ANTHONY",C,REP,4494.76,0.0,4494.76,MO,2.0,0.0,0.0,07/17/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H6TX30153,"LABRUCE, RODNEY",,DEM,6125.89,0.0,6125.89,TX,30.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4CA12246,"SIKDER, ABDUR R DR",O,DEM,21938.0,0.0,21938.0,CA,12.0,0.0,0.0,04/16/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2CA07141,"SEMENENKO, MAX",C,REP,960.0,0.0,960.0,CA,7.0,0.0,0.0,03/01/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4UT02288,"EYRING, HENRY CHRISTIAN",O,REP,45606.0,0.0,45606.0,UT,2.0,0.0,0.0,10/13/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4OR05353,"FEINTECH, SONJA",C,LIB,4654.0,719.57,4654.0,OR,5.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4CA32152,"ABBITT, DAVE",C,DEM,2240.0,0.0,2240.0,CA,32.0,0.0,0.0,12/31/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2MI04260,"ALFONSO, JOSEPH",C,DEM,12084.0,0.0,12084.0,MI,4.0,0.0,0.0,04/30/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2FL20043,"KAUFMAN, JOE",C,REP,166713.53,89862.53,166713.53,FL,23.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2VA04177,"STURDIFEN, DALE",C,REP,4925.0,0.0,4925.0,VA,4.0,0.0,0.0,05/23/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4RI01224,"QUEZADA, ANA B MRS.",O,DEM,92852.69,0.0,92852.69,RI,1.0,0.0,0.0,12/01/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2MI05176,"GOLDBERG, BARTLEY F.",C,DEM,620.0,50000.0,620.0,MI,5.0,0.0,0.0,09/30/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4MI08234,"NEELEY, SHELDON",O,DEM,26935.0,0.0,26935.0,MI,8.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4NJ11158,"SAUERS, JOHN",C,REP,5104.1,0.0,5104.1,NJ,11.0,0.0,0.0,06/30/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4VA03076,"TAYLOR-YOUNG, RHODA RENEE MS.",C,IND,1055.0,0.0,1055.0,VA,3.0,0.0,0.0,09/30/2024,1025.0,0.0,100.0,0.0,0.0,0.0,0.0
H2CA04155,"ENGDAHL, ANDREW DAVID",C,DEM,1587.46,0.0,1587.46,CA,4.0,0.0,0.0,04/13/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4CA33135,"CARR, ELAN S.",O,REP,100.0,11284.82,100.0,CA,33.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2NY14094,"CUELLAR, DESI",C,REP,49.53,26370.0,49.53,NY,14.0,0.0,0.0,06/30/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H0NY14296,"CUMMINGS, JOHN C.",C,REP,30.0,0.0,30.0,NY,14.0,0.0,0.0,06/30/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4NY11211,"MORSE, ANDREA S",C,DEM,273868.12,0.0,273868.12,NY,11.0,0.0,0.0,12/31/2024,2242.0,0.0,100.0,0.0,0.0,0.0,0.0
H8UT04046,"MCDONALD, DARLENE",C,DEM,600.0,0.0,600.0,UT,4.0,0.0,0.0,01/31/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4NY11203,"BLAS, SARAH",C,DEM,6316.01,0.0,6316.01,NY,11.0,0.0,0.0,05/20/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H8UT03253,"HERROD, CHRISTOPHER NILES",O,REP,11598.0,0.0,11598.0,UT,3.0,0.0,0.0,07/27/2024,3300.0,0.0,100.0,0.0,0.0,0.0,0.0
H4UT03294,"HUNSAKER, CLAYTON",O,REP,2000.0,0.0,2000.0,UT,3.0,0.0,0.0,02/27/2024,1989.92,0.0,100.0,0.0,0.0,0.0,0.0
H2RI02168,"DE LA CRUZ, JESSICA",O,REP,-2350.0,0.0,-2350.0,RI,2.0,0.0,0.0,03/29/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2NY11124,"RAMOS DEBARROS, BRITTANY",C,DEM,8437.58,9635.09,8437.58,NY,11.0,0.0,0.0,06/30/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2UT04106,"WALKER, JANUARY",C,UUP,8484.54,0.0,8484.54,UT,2.0,0.0,0.0,07/15/2024,27.71,0.0,100.0,0.0,0.0,0.0,0.0
H2MI13279,"GAY-DAGNOGO, SHERRY J",C,DEM,80000.0,0.0,80000.0,MI,13.0,0.0,0.0,04/12/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4MI13259,"HAWKINS, SHAKIRA",C,DEM,250.0,31018.98,250.0,MI,13.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4UT02320,"HOSTER, BILL",O,REP,22436.32,0.0,22436.32,UT,2.0,0.0,0.0,10/15/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2MO03159,"KARLEN, JONATHAN",O,DEM,165.0,0.0,165.0,MO,3.0,0.0,0.0,06/30/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H0CA22102,"ARBALLO, PHIL",C,DEM,116818.03,0.0,116818.03,CA,13.0,0.0,0.0,12/31/2024,1050.0,0.0,100.0,0.0,0.0,0.0,0.0
H4MI01189,"WILSON, J.D.",C,REP,225.0,0.0,225.0,MI,1.0,0.0,0.0,06/30/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4NH02407,"NEENOS, JASON",O,DEM,9780.0,0.0,9780.0,NH,2.0,0.0,0.0,06/30/2024,500.0,0.0,100.0,0.0,0.0,0.0,0.0
H2NY03170,"KAIMAN, JON",O,DEM,24680.0,39868.95,24680.0,NY,3.0,0.0,0.0,09/30/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4NJ05135,"CHO, ROY",C,DEM,2400.0,43164.85,2400.0,NJ,5.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H6FL01374,"SALZMAN, MICHELLE",,REP,39246.25,0.0,39246.25,FL,1.0,0.0,0.0,12/31/2024,27233.04,0.0,100.0,0.0,0.0,0.0,0.0
H6FL01366,"SALZMAN, MICHELLE",,REP,39246.25,0.0,39246.25,FL,1.0,0.0,0.0,12/31/2024,27233.04,0.0,100.0,0.0,0.0,0.0,0.0
H4NJ05168,"SONG, GEORGE",C,REP,13208.48,0.0,13208.48,NJ,5.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H6FL01333,"KEEBAUGH, CHARLES CLAYTON",,REP,4443.55,0.0,4443.55,FL,1.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4CT03116,"MASSEY, MICHAEL",C,REP,3129.27,0.0,3129.27,CT,3.0,0.0,0.0,11/25/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4FL01270,"PITTMAN, BERNADETTE",C,REP,104.1,0.0,104.1,FL,1.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4NJ07131,"VARTAN, GREGORY III",C,DEM,87248.0,0.0,87248.0,NJ,7.0,0.0,0.0,12/31/2024,9900.0,0.0,100.0,0.0,0.0,0.0,0.0
H4TX10218,"MCPHAIL, KEITH",C,DEM,375.0,0.0,375.0,TX,10.0,0.0,0.0,03/05/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H0NY03083,"DEVOLDER-SANTOS, GEORGE",I,REP,162529.31,803157.07,162529.31,NY,1.0,0.0,0.0,12/31/2024,29400.78,0.0,100.0,0.0,0.0,0.0,0.0
H2TX07119,"COHEN, TINA MRS.",C,REP,100105.0,50000.0,100105.0,TX,7.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4NV02193,"SIMON, FRED JOSEPH JR MD",C,REP,35528.08,49752.07,35528.08,NV,2.0,0.0,0.0,07/15/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4TN06192,"KENNEDY, JOHN PERKINS",O,DEM,11531.0,0.0,11531.0,TN,6.0,0.0,0.0,09/30/2024,40.0,0.0,100.0,0.0,0.0,0.0,0.0
H2CA01177,"HAWKINS, BRIAN",C,REP,235.0,0.0,235.0,CA,25.0,0.0,0.0,03/28/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2NV01306,"STEEL, CYNTHIA DIANNE",C,REP,10069.38,0.0,10069.38,NV,1.0,0.0,0.0,06/30/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4NJ09186,"WIMBERLY, BENJIE E.",O,DEM,12182.0,0.0,12182.0,NJ,9.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2TX04132,"THOMAS, DANIEL M.",C,REP,55.0,14551.21,55.0,TX,4.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4CT05145,"FERGUSON, BERTRAM",C,DEM,615.0,8374.98,615.0,CT,5.0,0.0,0.0,09/30/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4CA27129,"CARRILLO JR, FRANCISCO",C,DEM,34034.53,0.0,34034.53,CA,27.0,0.0,0.0,09/30/2023,500.0,0.0,100.0,0.0,0.0,0.0,0.0
H4NJ09137,"MICCO, VINCENT MR",O,REP,18943.0,0.0,18943.0,NJ,9.0,0.0,0.0,09/30/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4NJ10192,"CLAYBROOKS, BRITTANY",C,DEM,15471.0,18152.44,15471.0,NJ,10.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2NM03173,"MARTINEZ JOHNSON, ALEXIS",C,REP,-0.12,11350.93,-0.12,NM,3.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2NJ04215,"JENKINS, MATTHEW",C,DEM,44774.79,0.0,44774.79,NJ,4.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4CA20132,"MORALES, JESUS ANDY",C,DEM,144083.35,0.0,144083.35,CA,20.0,0.0,0.0,09/30/2024,637.61,0.0,100.0,0.0,0.0,0.0,0.0
H4MO03213,"COLEMAN, MARY ELIZABETH",O,REP,125538.45,0.0,125538.45,MO,3.0,0.0,0.0,09/30/2024,89220.72,0.0,100.0,0.0,0.0,0.0,0.0
H2NC12278,"JOSEPH, NALINI",O,REP,5487.37,0.0,5487.37,NC,14.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4CA13095,"BOYD, BRAD",C,DEM,7700.0,0.0,7700.0,CA,13.0,0.0,0.0,03/31/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4TX29051,"FIERRO, ANGEL IDALIS",C,REP,67.76,0.0,67.76,TX,29.0,0.0,0.0,02/14/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2MO04140,"BURKS, TAYLOR",O,REP,4271.3,0.0,4271.3,MO,4.0,0.0,0.0,06/30/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4TX28087,"SINCLAIR, KYLE",C,REP,18306.0,0.0,18306.0,TX,28.0,0.0,0.0,06/30/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4MO06109,"RICHARDSON, ERIK",C,DEM,9095.1,0.0,9095.1,MO,6.0,0.0,0.0,09/30/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2MO06236,"SHULTZ, DAKOTA",C,REP,24.01,0.0,24.01,MO,6.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4MP01022,"KING-HINDS, KIMBERLYN KAY",C,REP,86429.79,0.0,86429.79,MP,1.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4FL09174,"RIVERA, ANGEL",C,REP,2433.39,0.0,2433.39,FL,9.0,0.0,0.0,01/22/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2MS01148,"BLACK, DIANNE DODSON",C,DEM,9759.9,0.0,9759.9,MS,1.0,0.0,0.0,11/25/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2CO08079,"KIRKMEYER, BARBARA",O,REP,-148.89,0.0,-148.89,CO,8.0,0.0,0.0,12/31/2023,-1547.67,0.0,100.0,0.0,0.0,0.0,0.0
H4CA30214,"GIPSON, PATRICK LEE",O,REP,2118.66,0.0,2118.66,CA,30.0,0.0,0.0,03/31/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2NC01255,"AIKEN, WILLIAM",O,REP,221.0,0.0,221.0,NC,1.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2NC08235,"VILLAVERDE, CHRISTINE",C,REP,44225.0,0.0,44225.0,NC,1.0,0.0,0.0,12/07/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H0NC03248,"THOMAS, ALLEN",O,DEM,640.0,230000.0,640.0,NC,3.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2TX23165,"LOPEZ, FRANCISCO",C,REP,11412.0,24111.3,11412.0,TX,23.0,0.0,0.0,03/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4CA30271,"ARREAGA, FRANCESCO",O,DEM,5488.84,0.0,5488.84,CA,30.0,0.0,0.0,03/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2NC04192,"COWDEN, ANTHONY 'TONY'",O,REP,240.0,0.0,240.0,NC,3.0,0.0,0.0,09/30/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2NC04150,"CLARK, ROBERT BENJAMIN III",O,DEM,72.0,62690.97,72.0,NC,4.0,0.0,0.0,09/30/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H0CA17193,"TANDON, RITESH",C,DEM,26133.46,2089.31,26133.46,CA,17.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2NC04176,"SZOKA, JOHN DAVID MR.",O,REP,149.0,0.0,149.0,NC,4.0,0.0,0.0,09/30/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2NC09183,"GRAHAM, CHARLES",C,DEM,4500.0,0.0,4500.0,NC,7.0,0.0,0.0,03/31/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4TX18229,"DURAL, KEVIN",C,W,64469.71,0.0,64469.71,TX,18.0,0.0,0.0,10/16/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H0CA20122,"GORMAN, JEFF",C,REP,250.0,0.0,250.0,CA,19.0,0.0,0.0,05/01/2023,100.0,0.0,100.0,0.0,0.0,0.0,0.0
H2MI03197,"GIBBS, JOHN",C,REP,-220.5,0.0,-220.5,MI,3.0,0.0,0.0,03/15/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4TX02181,"FILLER, PETER STEVEN",C,DEM,8114.5,0.0,8114.5,TX,2.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4WA05242,"BINGLE, JONATHAN",C,REP,22243.0,4640.17,22243.0,WA,5.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4GA13091,"RENE, KAREN",C,DEM,67020.0,0.0,67020.0,GA,13.0,0.0,0.0,03/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4WA06125,"DEAN, KATE",O,DEM,22583.0,0.0,22583.0,WA,6.0,0.0,0.0,03/29/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H6KY03124,"YARMUTH, JOHN",I,DEM,233.01,132262.4,233.01,KY,3.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H0IN05201,"BECKWITH, MICAH",O,REP,98.52,0.0,98.52,IN,5.0,0.0,0.0,05/04/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2CA50174,"HOULAHAN, STEPHEN WILLIAM",C,DEM,29975.29,0.0,29975.29,CA,48.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4AS01018,"KUAEA, LOUISE LEALAI MRS.",C,DEM,26550.0,3913.92,26550.0,AS,0.0,0.0,0.0,11/25/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2FL24045,"HARRIS, KEVIN COREY",C,DEM,3053.36,0.0,3053.36,FL,24.0,0.0,0.0,08/26/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4KY06197,"RUDD, SHAUNA",C,DEM,32964.12,0.0,32964.12,KY,6.0,0.0,0.0,11/03/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2LA03105,"LEBRUN, TIA MARIE MRS.",C,DEM,1111.0,0.0,1111.0,LA,3.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4LA03143,"SUMMERLIN, SADI",C,DEM,9707.25,0.0,9707.25,LA,3.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4OH03105,"CHANDRAKUMAR, ROSHAN",C,DEM,31898.6,0.0,31898.6,OH,3.0,0.0,0.0,03/14/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2MA08090,"BURKE, ROBERT G.",C,REP,1147.1,10000.0,1147.1,MA,8.0,0.0,0.0,11/20/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4GA08117,"LASTER, JUSTIN",C,DEM,405.0,0.0,405.0,GA,8.0,0.0,0.0,09/30/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2GA08095,"BUTLER, DARRIUS MAURICE",C,DEM,16292.11,0.0,16292.11,GA,8.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4OH02263,"HENDERSON, MATTHEW",O,REP,950.0,0.0,950.0,OH,2.0,0.0,0.0,02/29/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H0PA12207,"ELIZABETH, TERWILLIGER",O,LIB,25.22,0.0,25.22,PA,12.0,0.0,0.0,08/26/2024,5442.04,0.0,100.0,0.0,0.0,0.0,0.0
H4MD02240,"KYRIAKAKOS, ATHANSIA MS.",O,DEM,23028.0,3.12,23028.0,MD,2.0,0.0,0.0,06/13/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2GA06222,"CHRISTIAN, ROBERT FRANKLIN MR. III",C,DEM,37360.19,245220.0,37360.19,GA,7.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4PA07126,"ISSA, ALLEN",C,REP,24090.0,0.0,24090.0,PA,7.0,0.0,0.0,02/29/2024,9385.75,0.0,100.0,0.0,0.0,0.0,0.0
H4WI07145,"DURANCEAU, ELSA",C,DEM,10147.16,0.0,10147.16,WI,7.0,0.0,0.0,07/24/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2CA06184,"NEVENIC, ANNA",C,DEM,11180.0,0.0,11180.0,CA,41.0,0.0,0.0,02/21/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4IL06120,"AHMAD, MAHNOOR",C,DEM,97025.26,0.0,97025.26,IL,6.0,0.0,0.0,08/12/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4MD03164,"ATTERBEARY, VANESSA",O,DEM,19350.0,0.0,19350.0,MD,3.0,0.0,0.0,10/03/2024,4355.16,0.0,100.0,0.0,0.0,0.0,0.0
H4CA41153,"HAWKINS, BRIAN",C,DEM,651.0,0.0,651.0,CA,41.0,0.0,0.0,12/31/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H8OH03098,"ESRATI, DAVID",C,DEM,5928.0,0.0,5928.0,OH,10.0,0.0,0.0,03/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2IN09233,"NTI ASARE, ISAK",O,DEM,5.65,0.0,5.65,IN,9.0,0.0,0.0,07/15/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2IN08169,"MCCORMICK, RAY",C,DEM,72.03,0.0,72.03,IN,8.0,0.0,0.0,09/13/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H8GU01020,"SAN NICOLAS, MICHAEL F.Q. MR.",C,DEM,23942.0,30937.92,23942.0,GU,0.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H6OH13240,"MORCKEL, RICHARD A MR.",C,GOP,3039.28,0.0,3039.28,OH,13.0,0.0,0.0,03/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4GU01011,"SHELTON, AMANDA LEE",C,DEM,166380.6,0.0,166380.6,GU,0.0,0.0,0.0,12/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2OH05062,"SWARTZ, CRAIG STEPHEN",C,DEM,55.0,0.0,55.0,OH,5.0,0.0,0.0,03/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4IN05252,"MALAYTER, PATRICK MICHAEL",C,REP,7500.0,1130.0,7500.0,IN,5.0,0.0,0.0,05/30/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4WA10044,"HEWETT, DON MR",C,REP,39.57,0.0,39.57,WA,10.0,0.0,0.0,09/30/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4AL02204,"GILBERRY, WALLACE",C,REP,165335.64,0.0,165335.64,AL,2.0,0.0,0.0,01/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H4WA08147,"SHETH, NIRAV",C,REP,26855.0,0.0,26855.0,WA,10.0,0.0,0.0,07/31/2024,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H2WA10063,"HEWETT, DON",C,REP,39.57,0.0,39.57,WA,10.0,0.0,0.0,09/30/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
H0WA10067,"HEWETT, DON",C,REP,39.57,0.0,39.57,WA,10.0,0.0,0.0,09/30/2023,0.0,0.0,100.0,0.0,0.0,0.0,0.0
