Last Name,First Name,Party,State,Class,Phone,Website,Address,Bioguide ID,Leadership Position
Johnson,Ron,R,WI,Class III,(202) 224-5323,https://www.ronjohnson.senate.gov/,328 Hart Senate Office Building Washington DC 20510,J000293,
Justice,James C.,R,WV,Class I,(202) 224-3954,https://www.justice.senate.gov/,G12 Dirksen Senate Office Building Washington DC 20510,J000312,
Kaine,Tim,D,VA,Class I,(202) 224-4024,https://www.kaine.senate.gov/,231 Russell Senate Office Building Washington DC 20510,K000384,
Kelly,Mark,D,AZ,Class III,(202) 224-2235,https://www.kelly.senate.gov,516 Hart Senate Office Building Washington DC 20510,K000377,
Kennedy,John,R,LA,Class III,(202) 224-4623,https://www.kennedy.senate.gov,437 Russell Senate Office Building Washington DC 20510,K000393,
Kim,Andy,D,NJ,Class I,(202) 224-4744,https://www.kim.senate.gov/,520 Hart Senate Office Building Washington DC 20510,K000394,
King,Angus S. Jr.,I,ME,Class I,(202) 224-5344,https://www.king.senate.gov/,133 Hart Senate Office Building Washington DC 20510,K000383,
Klobuchar,Amy,D,MN,Class I,(202) 224-3244,https://www.klobuchar.senate.gov/,425 Dirksen Senate Office Building Washington DC 20510,K000367,
Lankford,James,R,OK,Class III,(202) 224-5754,https://www.lankford.senate.gov,731 Hart Senate Office Building Washington DC 20510,L000575,
Lee,Mike,R,UT,Class III,(202) 224-5444,https://www.lee.senate.gov/,363 Russell Senate Office Building Washington DC 20510,L000577,
Luján,Ben Ray,D,NM,Class II,(202) 224-6621,https://www.lujan.senate.gov,498 Russell Senate Office Building Washington DC 20510,L000570,
Lummis,Cynthia M.,R,WY,Class II,(202) 224-3424,https://www.lummis.senate.gov,127A Russell Senate Office Building Washington DC 20510,L000571,
Markey,Edward J.,D,MA,Class II,(202) 224-2742,https://www.markey.senate.gov,255 Dirksen Senate Office Building Washington DC 20510,M000133,
Marshall,Roger,R,KS,Class II,(202) 224-4774,https://www.marshall.senate.gov,479A Russell Senate Office Building Washington DC 20510,M001198,
McConnell,Mitch,R,KY,Class II,(202) 224-2541,https://www.mcconnell.senate.gov/,317 Russell Senate Office Building Washington DC 20510,M000355,
McCormick,David,R,PA,Class I,(202) 224-6324,https://mccormick.senate.gov/,702 Hart Senate Office Building Washington DC 20510,M001243,
Merkley,Jeff,D,OR,Class II,(202) 224-3753,https://www.merkley.senate.gov,531 Hart Senate Office Building Washington DC 20510,M001176,
Moody,Ashley,R,FL,Class III,(202) 224-3041,https://www.moody.senate.gov,387 Russell Senate Office Building Washington DC 20510,M001244,
Moran,Jerry,R,KS,Class III,(202) 224-6521,https://www.moran.senate.gov,521 Dirksen Senate Office Building Washington DC 20510,M000934,
Moreno,Bernie,R,OH,Class I,(202) 224-2315,https://www.moreno.senate.gov,284 Russell Senate Office Building Washington DC 20510,M001242,
Mullin,Markwayne,R,OK,Class II,(202) 224-4721,https://www.mullin.senate.gov/,330 Hart Senate Office Building Washington DC 20510,M001190,
Murkowski,Lisa,R,AK,Class III,(202) 224-6665,https://www.murkowski.senate.gov/,522 Hart Senate Office Building Washington DC 20510,M001153,
Murphy,Christopher,D,CT,Class I,(202) 224-4041,https://www.murphy.senate.gov/,136 Hart Senate Office Building Washington DC 20510,M001169,
Murray,Patty,D,WA,Class III,(202) 224-2621,https://www.murray.senate.gov/,154 Russell Senate Office Building Washington DC 20510,M001111,
Ossoff,Jon,D,GA,Class II,(202) 224-3521,https://www.ossoff.senate.gov,317 Hart Senate Office Building Washington DC 20510,O000174,
Padilla,Alex,D,CA,Class III,(202) 224-3553,https://www.padilla.senate.gov,331 Hart Senate Office Building Washington DC 20510,P000145,
Paul,Rand,R,KY,Class III,(202) 224-4343,https://www.paul.senate.gov,295 Russell Senate Office Building Washington DC 20510,P000603,
Peters,Gary C.,D,MI,Class II,(202) 224-6221,https://www.peters.senate.gov,724 Hart Senate Office Building Washington DC 20510,P000595,
Reed,Jack,D,RI,Class II,(202) 224-4642,https://www.reed.senate.gov/,728 Hart Senate Office Building Washington DC 20510,R000122,
Ricketts,Pete,R,NE,Class II,(202) 224-4224,https://www.ricketts.senate.gov,139 Russell Senate Office Building Washington DC 20510,R000618,
Risch,James E.,R,ID,Class II,(202) 224-2752,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,R000584,
Rosen,Jacky,D,NV,Class I,(202) 224-6244,https://www.rosen.senate.gov,713 Hart Senate Office Building Washington DC 20510,R000608,
Rounds,Mike,R,SD,Class II,(202) 224-5842,https://www.rounds.senate.gov,716 Hart Senate Office Building Washington DC 20510,R000605,
Sanders,Bernard,I,VT,Class I,(202) 224-5141,https://www.sanders.senate.gov/,332 Dirksen Senate Office Building Washington DC 20510,S000033,
Schatz,Brian,D,HI,Class III,(202) 224-3934,https://www.schatz.senate.gov,722 Hart Senate Office Building Washington DC 20510,S001194,
Schiff,Adam B.,D,CA,Class I,(202) 224-3841,https://www.schiff.senate.gov,112 Hart Senate Office Building Washington DC 20510,S001150,
Schmitt,Eric,R,MO,Class III,(202) 224-5721,https://www.schmitt.senate.gov/,404 Russell Senate Office Building Washington DC 20510,S001227,
Schumer,Charles E.,D,NY,Class III,(202) 224-6542,https://www.schumer.senate.gov/,322 Hart Senate Office Building Washington DC 20510,S000148,Democratic Leader Chair of the Conference
Scott,Rick,R,FL,Class I,(202) 224-5274,https://www.rickscott.senate.gov/,110 Hart Senate Office Building Washington DC 20510,S001217,
Scott,Tim,R,SC,Class III,(202) 224-6121,https://www.scott.senate.gov/,104 Hart Senate Office Building Washington DC 20510,S001184,
Shaheen,Jeanne,D,NH,Class II,(202) 224-2841,https://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,S001181,
Sheehy,Tim,R,MT,Class I,(202) 224-2644,https://www.sheehy.senate.gov/,124 Russell Senate Office Building Washington DC 20510,S001232,
Slotkin,Elissa,D,MI,Class I,(202) 224-4822,https://www.slotkin.senate.gov/,291 Russell Senate Office Building Washington DC 20510,S001208,
Smith,Tina,D,MN,Class II,(202) 224-5641,https://www.smith.senate.gov,720 Hart Senate Office Building Washington DC 20510,S001203,
Sullivan,Dan,R,AK,Class II,(202) 224-3004,https://www.sullivan.senate.gov,706 Hart Senate Office Building Washington DC 20510,S001198,
Thune,John,R,SD,Class III,(202) 224-2321,https://www.thune.senate.gov/,511 Dirksen Senate Office Building Washington DC 20510,T000250,Majority Leader
Tillis,Thom,R,NC,Class II,(202) 224-6342,https://www.tillis.senate.gov,113 Dirksen Senate Office Building Washington DC 20510,T000476,
Tuberville,Tommy,R,AL,Class II,(202) 224-4124,https://www.tuberville.senate.gov,455 Russell Senate Office Building Washington DC 20510,T000278,
Van Hollen,Chris,D,MD,Class III,(202) 224-4654,https://www.vanhollen.senate.gov,730 Hart Senate Office Building Washington DC 20510,V000128,
Warner,Mark R.,D,VA,Class II,(202) 224-2023,https://www.warner.senate.gov,703 Hart Senate Office Building Washington DC 20510,W000805,
Warnock,Raphael G.,D,GA,Class III,(202) 224-3643,https://www.warnock.senate.gov,717 Hart Senate Office Building Washington DC 20510,W000790,
Warren,Elizabeth,D,MA,Class I,(202) 224-4543,https://www.warren.senate.gov,311 Hart Senate Office Building Washington DC 20510,W000817,
Welch,Peter,D,VT,Class III,(202) 224-4242,https://www.welch.senate.gov/,115 Russell Senate Office Building Washington DC 20510,W000800,
Whitehouse,Sheldon,D,RI,Class I,(202) 224-2921,https://www.whitehouse.senate.gov/,530 Hart Senate Office Building Washington DC 20510,W000802,
Wicker,Roger F.,R,MS,Class I,(202) 224-6253,https://www.wicker.senate.gov,425 Russell Senate Office Building Washington DC 20510,W000437,
Wyden,Ron,D,OR,Class III,(202) 224-5244,https://www.wyden.senate.gov/,221 Dirksen Senate Office Building Washington DC 20510,W000779,
Young,Todd,R,IN,Class III,(202) 224-5623,https://www.young.senate.gov,185 Dirksen Senate Office Building Washington DC 20510,Y000064,
